[TRACE] 0: : Looking for './JTest.so' ....
[TRACE] 0: : Failed to attach './JTest.so'
[TRACE] 0: : Looking for '/home/nbrei/src/jana2/Linux_CentOS7-x86_64-gcc4.8.5/plugins/JTest.so' ....
[TRACE] 0: : Found!
[INFO] 0: : Initializing plugin "/home/nbrei/src/jana2/Linux_CentOS7-x86_64-gcc4.8.5/plugins/JTest.so"
Opening source "dummy_evt_src" - JEventSource_jana_test : JTest Fake Event Source

              Config. Parameters
  ===========================================
          name                    value
  --------------------   --------------------
  benchmark:maxthreads = 88
  benchmark:minthreads = 4
  benchmark:threadstep = 4
               NEVENTS = 0
              nthreads = 4

Start processing ...
Waiting for event source to start producing ... rate: 0
JEventProcessor_jana_test::Init() called
Rate: 3710.11Hz   -  ready to begin test
nthreads=48  rate=31365.2Hz  (avg = 30608.5 +/- 213.65 Hz)
Setting NTHREADS = 52 ...
nthreads=52  rate=33066.6Hz  (avg = 33066.6 +/- -nan Hz)
nthreads=52  rate=33122.6Hz  (avg = 33094.6 +/- 19.169 Hz)
nthreads=52  rate=33128.1Hz  (avg = 33105.8 +/- 15.6689 Hz)
nthreads=52  rate=32927.9Hz  (avg = 33061.3 +/- 40.2841 Hz)
nthreads=52  rate=33010.9Hz  (avg = 33051.2 +/- 33.4641 Hz)
nthreads=52  rate=33244.9Hz  (avg = 33083.5 +/- 40.5691 Hz)
nthreads=52  rate=32733.8Hz  (avg = 33033.6 +/- 57.8589 Hz)
nthreads=52  rate=32797.6Hz  (avg = 33004.1 +/- 57.6556 Hz)
nthreads=52  rate=33088.1Hz  (avg = 33013.4 +/- 52.005 Hz)
nthreads=52  rate=32755.9Hz  (avg = 32987.7 +/- 52.7965 Hz)
nthreads=52  rate=32908.8Hz  (avg = 32980.5 +/- 48.4812 Hz)
nthreads=52  rate=33136Hz  (avg = 32993.4 +/- 46.1396 Hz)
nthreads=52  rate=33059.9Hz  (avg = 32998.6 +/- 42.874 Hz)
nthreads=52  rate=33168.8Hz  (avg = 33010.7 +/- 41.5005 Hz)
nthreads=52  rate=33048.7Hz  (avg = 33013.3 +/- 38.8136 Hz)
Setting NTHREADS = 56 ...
nthreads=56  rate=33604.3Hz  (avg = 33604.3 +/- -nan Hz)
nthreads=56  rate=33721.4Hz  (avg = 33662.8 +/- 41.4676 Hz)
nthreads=56  rate=33287.4Hz  (avg = 33537.7 +/- 105.87 Hz)
nthreads=56  rate=33334.4Hz  (avg = 33486.9 +/- 90.7813 Hz)
nthreads=56  rate=33260.9Hz  (avg = 33441.7 +/- 83.1176 Hz)
nthreads=56  rate=33105.9Hz  (avg = 33385.7 +/- 86.073 Hz)
nthreads=56  rate=32834.7Hz  (avg = 33307 +/- 103.708 Hz)
nthreads=56  rate=32227.7Hz  (avg = 33172.1 +/- 155.435 Hz)
nthreads=56  rate=31851.3Hz  (avg = 33025.3 +/- 195.529 Hz)
nthreads=56  rate=31872.3Hz  (avg = 32910 +/- 207.203 Hz)
nthreads=56  rate=32765.9Hz  (avg = 32896.9 +/- 188.78 Hz)
nthreads=56  rate=33147.8Hz  (avg = 32917.8 +/- 174.202 Hz)
nthreads=56  rate=32895.8Hz  (avg = 32916.1 +/- 160.811 Hz)
nthreads=56  rate=33171.8Hz  (avg = 32934.4 +/- 150.358 Hz)
nthreads=56  rate=32826.6Hz  (avg = 32927.2 +/- 140.506 Hz)
Setting NTHREADS = 60 ...
nthreads=60  rate=34007.9Hz  (avg = 34007.9 +/- -nan Hz)
nthreads=60  rate=33826.4Hz  (avg = 33917.1 +/- 64.1277 Hz)
nthreads=60  rate=33575Hz  (avg = 33803.1 +/- 102.428 Hz)
nthreads=60  rate=33560.4Hz  (avg = 33742.4 +/- 93.0682 Hz)
nthreads=60  rate=33881.1Hz  (avg = 33770.2 +/- 78.4798 Hz)
nthreads=60  rate=34005.9Hz  (avg = 33809.5 +/- 74.5838 Hz)
nthreads=60  rate=33974.1Hz  (avg = 33833 +/- 67.5404 Hz)
nthreads=60  rate=34184.8Hz  (avg = 33877 +/- 71.9998 Hz)
nthreads=60  rate=34027.9Hz  (avg = 33893.7 +/- 65.9305 Hz)
nthreads=60  rate=34221.8Hz  (avg = 33926.5 +/- 67.0002 Hz)
nthreads=60  rate=34076.9Hz  (avg = 33940.2 +/- 62.2857 Hz)
nthreads=60  rate=33665.4Hz  (avg = 33917.3 +/- 61.1581 Hz)
nthreads=60  rate=33862.2Hz  (avg = 33913.1 +/- 56.5986 Hz)
nthreads=60  rate=33989.9Hz  (avg = 33918.6 +/- 52.824 Hz)
nthreads=60  rate=33770.5Hz  (avg = 33908.7 +/- 50.2171 Hz)
Setting NTHREADS = 64 ...
nthreads=64  rate=35237.7Hz  (avg = 35237.7 +/- -nan Hz)
nthreads=64  rate=35773.7Hz  (avg = 35505.7 +/- 189.512 Hz)
nthreads=64  rate=35859.4Hz  (avg = 35623.6 +/- 158.842 Hz)
nthreads=64  rate=35755.4Hz  (avg = 35656.6 +/- 122.503 Hz)
nthreads=64  rate=35741.6Hz  (avg = 35673.6 +/- 99.1782 Hz)
nthreads=64  rate=35814.5Hz  (avg = 35697 +/- 85.3886 Hz)
nthreads=64  rate=35599.4Hz  (avg = 35683.1 +/- 74.3255 Hz)
nthreads=64  rate=35549.5Hz  (avg = 35666.4 +/- 66.8817 Hz)
nthreads=64  rate=35577.5Hz  (avg = 35656.5 +/- 60.1734 Hz)
nthreads=64  rate=35706.4Hz  (avg = 35661.5 +/- 54.3639 Hz)
nthreads=64  rate=35610.6Hz  (avg = 35656.9 +/- 49.6196 Hz)
nthreads=64  rate=35317.5Hz  (avg = 35628.6 +/- 52.9328 Hz)
