JANA 2.0.0dev [Revision]
Loaded config file 'jana.config'.

[TRACE] 0: : Looking for './JTestOld.so' ....
[TRACE] 0: : Failed to attach './JTestOld.so'
[TRACE] 0: : Looking for '/home/nbrei/src/jana2/Linux_CentOS7-x86_64-gcc4.8.5/plugins/JTestOld.so' ....
[TRACE] 0: : Found!
Opening source "dummy_evt_src" - JEventSource_jana_test : JTest Fake Event Source

                   Config. Parameters
  =====================================================
            name                         value
  -------------------------   -------------------------
       benchmark:minthreads = 4
       benchmark:threadstep = 4
  jana:debug_plugin_loading = 1
           jana:legacy_mode = 0
                    NEVENTS = 0
                    plugins = JTestOld

Start processing ...
Waiting for event source to start producing ... rate: 0
Rate: 16409Hz   -  ready to begin test
Setting NTHREADS = 48 ...
nthreads=48  rate=18926.1Hz  (avg = 18926.1 +/- -nan Hz)
nthreads=48  rate=18966.1Hz  (avg = 18946.1 +/- 14.1891 Hz)
nthreads=48  rate=19086.9Hz  (avg = 18993 +/- 39.5033 Hz)
nthreads=48  rate=19010Hz  (avg = 18997.3 +/- 29.8566 Hz)
nthreads=48  rate=18971.1Hz  (avg = 18992 +/- 24.3427 Hz)
nthreads=48  rate=18945.8Hz  (avg = 18984.3 +/- 21.4598 Hz)
nthreads=48  rate=19023.2Hz  (avg = 18989.9 +/- 19.0988 Hz)
nthreads=48  rate=18975Hz  (avg = 18988 +/- 16.7986 Hz)
nthreads=48  rate=18903.1Hz  (avg = 18978.6 +/- 17.3761 Hz)
nthreads=48  rate=19053.9Hz  (avg = 18986.1 +/- 17.1906 Hz)
nthreads=48  rate=19007Hz  (avg = 18988 +/- 15.7351 Hz)
nthreads=48  rate=19052.2Hz  (avg = 18993.4 +/- 15.3053 Hz)
nthreads=48  rate=19048.8Hz  (avg = 18997.6 +/- 14.7081 Hz)
nthreads=48  rate=19081.1Hz  (avg = 19003.6 +/- 14.8161 Hz)
nthreads=48  rate=19067.6Hz  (avg = 19007.9 +/- 14.4322 Hz)
Writing test results to: JANA_Test_Results
Testing finished
JEventProcessor_jana_test::Finish() called
Total # objects = 77735062
