JANA 2.0.0dev [Revision]
Loaded config file '/global/homes/n/nbrei/jana-perf-testing/old_jtest_scaling/exp2/jana.config'.

[TRACE] 0: : Looking for './JTestOld.so' ....
[TRACE] 0: : Failed to attach './JTestOld.so'
[TRACE] 0: : Looking for '/global/homes/n/nbrei/JANA2/Linux-x86_64-cc18.0.1/plugins/JTestOld.so' ....
[TRACE] 0: : Found!
Opening source "dummy_evt_src" - JEventSource_jana_test : JTest Fake Event Source

                   Config. Parameters
  =====================================================
            name                         value
  -------------------------   -------------------------
       benchmark:minthreads = 4
       benchmark:resultsdir = /global/homes/n/nbrei/jana-perf-testing/old_jtest_scaling/exp2
       benchmark:threadstep = 8
  jana:debug_plugin_loading = 1
           jana:legacy_mode = 0
                    NEVENTS = 0
                    plugins = JTestOld

Start processing ...
Waiting for event source to start producing ... rate: 0
Rate: 4020.35Hz   -  ready to begin test
nthreads=68  rate=8427.81Hz  (avg = 7942.91 +/- 147.793 Hz)
nthreads=68  rate=7888.43Hz  (avg = 7937.46 +/- 133.114 Hz)
nthreads=68  rate=8524.18Hz  (avg = 7990.8 +/- 131.265 Hz)
nthreads=68  rate=7824.94Hz  (avg = 7976.98 +/- 121.051 Hz)
nthreads=68  rate=8463.16Hz  (avg = 8014.37 +/- 117.375 Hz)
nthreads=68  rate=8011.13Hz  (avg = 8014.14 +/- 108.991 Hz)
nthreads=68  rate=7899.83Hz  (avg = 8006.52 +/- 101.991 Hz)
Setting NTHREADS = 76 ...
nthreads=76  rate=6804.27Hz  (avg = 6804.27 +/- -nan Hz)
nthreads=76  rate=8426.94Hz  (avg = 7615.6 +/- 573.697 Hz)
nthreads=76  rate=8675.12Hz  (avg = 7968.77 +/- 478.991 Hz)
nthreads=76  rate=8505.68Hz  (avg = 8103 +/- 377.582 Hz)
nthreads=76  rate=8820.35Hz  (avg = 8246.47 +/- 328.193 Hz)
nthreads=76  rate=8416.08Hz  (avg = 8274.74 +/- 274.709 Hz)
nthreads=76  rate=8948.55Hz  (avg = 8371 +/- 251.765 Hz)
nthreads=76  rate=8687.18Hz  (avg = 8410.52 +/- 223.375 Hz)
nthreads=76  rate=8985.98Hz  (avg = 8474.46 +/- 207.505 Hz)
nthreads=76  rate=8812.17Hz  (avg = 8508.23 +/- 189.483 Hz)
nthreads=76  rate=8651.9Hz  (avg = 8521.29 +/- 172.707 Hz)
nthreads=76  rate=9059.95Hz  (avg = 8566.18 +/- 164.044 Hz)
nthreads=76  rate=8625.81Hz  (avg = 8570.77 +/- 151.49 Hz)
nthreads=76  rate=8972.51Hz  (avg = 8599.46 +/- 143.361 Hz)
nthreads=76  rate=9129.58Hz  (avg = 8634.8 +/- 138.091 Hz)
Setting NTHREADS = 84 ...
nthreads=84  rate=8759.75Hz  (avg = 8759.75 +/- 1.31138 Hz)
nthreads=84  rate=9327.28Hz  (avg = 9043.52 +/- 200.652 Hz)
nthreads=84  rate=9542.03Hz  (avg = 9209.69 +/- 190.532 Hz)
nthreads=84  rate=9576.97Hz  (avg = 9301.51 +/- 163.534 Hz)
nthreads=84  rate=9222.28Hz  (avg = 9285.66 +/- 131.592 Hz)
nthreads=84  rate=9267.55Hz  (avg = 9282.64 +/- 109.695 Hz)
nthreads=84  rate=9284.81Hz  (avg = 9282.95 +/- 94.0246 Hz)
nthreads=84  rate=9464.58Hz  (avg = 9305.66 +/- 84.9683 Hz)
nthreads=84  rate=9451.23Hz  (avg = 9321.83 +/- 77.0514 Hz)
nthreads=84  rate=9525.78Hz  (avg = 9342.23 +/- 71.9952 Hz)
nthreads=84  rate=9609.03Hz  (avg = 9366.48 +/- 69.4159 Hz)
nthreads=84  rate=9150.45Hz  (avg = 9348.48 +/- 65.9244 Hz)
nthreads=84  rate=8741.59Hz  (avg = 9301.8 +/- 75.5966 Hz)
nthreads=84  rate=8775.95Hz  (avg = 9264.24 +/- 78.9785 Hz)
nthreads=84  rate=9406.55Hz  (avg = 9273.72 +/- 74.2809 Hz)
Setting NTHREADS = 92 ...
nthreads=92  rate=9384.74Hz  (avg = 9384.74 +/- -nan Hz)
nthreads=92  rate=10036.7Hz  (avg = 9710.7 +/- 230.491 Hz)
nthreads=92  rate=10018.9Hz  (avg = 9813.43 +/- 175.062 Hz)
nthreads=92  rate=9971.86Hz  (avg = 9853.04 +/- 135.703 Hz)
nthreads=92  rate=9581.03Hz  (avg = 9798.64 +/- 118.968 Hz)
nthreads=92  rate=9342.95Hz  (avg = 9722.69 +/- 120.977 Hz)
nthreads=92  rate=9744.36Hz  (avg = 9725.78 +/- 103.735 Hz)
nthreads=92  rate=10022.4Hz  (avg = 9762.86 +/- 97.1675 Hz)
nthreads=92  rate=8937.42Hz  (avg = 9671.14 +/- 122.218 Hz)
nthreads=92  rate=9626.04Hz  (avg = 9666.63 +/- 110.079 Hz)
nthreads=92  rate=9763.15Hz  (avg = 9675.41 +/- 100.421 Hz)
nthreads=92  rate=9786.61Hz  (avg = 9684.67 +/- 92.4793 Hz)
nthreads=92  rate=9172Hz  (avg = 9645.24 +/- 93.3961 Hz)
nthreads=92  rate=9968.02Hz  (avg = 9668.29 +/- 89.5255 Hz)
nthreads=92  rate=9097.79Hz  (avg = 9630.26 +/- 91.2792 Hz)
Setting NTHREADS = 100 ...
nthreads=100  rate=9265.6Hz  (avg = 9265.6 +/- 0.515976 Hz)
nthreads=100  rate=10522.1Hz  (avg = 9893.83 +/- 444.227 Hz)
nthreads=100  rate=10456.3Hz  (avg = 10081.3 +/- 333.38 Hz)
nthreads=100  rate=10607.7Hz  (avg = 10212.9 +/- 274.785 Hz)
nthreads=100  rate=10482.1Hz  (avg = 10266.8 +/- 225.039 Hz)
nthreads=100  rate=10466.5Hz  (avg = 10300.1 +/- 189.98 Hz)
nthreads=100  rate=10565.8Hz  (avg = 10338 +/- 166.591 Hz)
nthreads=100  rate=10149.4Hz  (avg = 10314.4 +/- 147.427 Hz)
nthreads=100  rate=10559.3Hz  (avg = 10341.6 +/- 133.532 Hz)
nthreads=100  rate=10086.4Hz  (avg = 10316.1 +/- 122.594 Hz)
nthreads=100  rate=9488.38Hz  (avg = 10240.9 +/- 132.546 Hz)
nthreads=100  rate=10464.7Hz  (avg = 10259.5 +/- 122.807 Hz)
nthreads=100  rate=10070.9Hz  (avg = 10245 +/- 114.213 Hz)
nthreads=100  rate=9816.64Hz  (avg = 10214.4 +/- 110.078 Hz)
nthreads=100  rate=9693.8Hz  (avg = 10179.7 +/- 108.073 Hz)
Setting NTHREADS = 108 ...
nthreads=108  rate=9451.79Hz  (avg = 9451.79 +/- -nan Hz)
nthreads=108  rate=10933.7Hz  (avg = 10192.7 +/- 523.927 Hz)
nthreads=108  rate=11105.6Hz  (avg = 10497 +/- 428.63 Hz)
nthreads=108  rate=11048Hz  (avg = 10634.8 +/- 342.893 Hz)
nthreads=108  rate=11146.7Hz  (avg = 10737.2 +/- 289.196 Hz)
nthreads=108  rate=10751.3Hz  (avg = 10739.5 +/- 241.007 Hz)
nthreads=108  rate=11108.3Hz  (avg = 10792.2 +/- 212.258 Hz)
nthreads=108  rate=9528.75Hz  (avg = 10634.3 +/- 237.315 Hz)
nthreads=108  rate=10721.7Hz  (avg = 10644 +/- 211.145 Hz)
nthreads=108  rate=10770.1Hz  (avg = 10656.6 +/- 190.407 Hz)
